sex,raceEthnicity,foreign,period,majorCauses,age,pop,deaths,ASDR
Female,Asian,US-Born,2017-2019,Total,45-54,515230.3054850943,1015,196.99928152408808
Female,Asian,US-Born,2017-2019,Total,55-64,426512.89466465526,1803,422.7304783874364
Female,Asian,US-Born,2017-2019,Total,65-74,292987.9875465527,2452,836.8943793678242
Female,Asian,US-Born,2017-2019,Total,75-84,140544.77353261207,3167,2253.3744374813964
Female,Asian,US-Born,2017-2019,Total,85+,112860.10800366034,9877,8751.542218690473
Female,Asian,US-Born,2020,Total,25-34,576378.3096990737,273,47.3647247660192
Female,Asian,US-Born,2020,Total,35-44,326930.7516514306,333,101.85643238450702
Female,Asian,US-Born,2020,Total,45-54,176682.0696483247,412,233.187216348587
Female,Asian,US-Born,2020,Total,55-64,145201.36692009732,698,480.7117279991596
Female,Asian,US-Born,2020,Total,65-74,103322.0156584069,1011,978.494267226134
Female,Asian,US-Born,2020,Total,75-84,49634.35962731081,1171,2359.252761177297
Female,Asian,US-Born,2020,Total,85+,38239.71112600536,3731,9756.872868902743
Male,White,Foreign-Born,2017-2019,Total,25-34,2073466.8126000897,2267,109.33379720494408
Male,White,Foreign-Born,2017-2019,Total,35-44,2344909.0181752252,3577,152.54323183863102
Male,White,Foreign-Born,2017-2019,Total,45-54,2546156.8724519843,9357,367.49503148205787
Male,White,Foreign-Born,2017-2019,Total,55-64,2423350.0431081797,25407,1048.4246826930987
Male,White,Foreign-Born,2017-2019,Total,65-74,1680906.087351197,36065,2145.569004204863
Male,White,Foreign-Born,2017-2019,Total,75-84,910752.0060727587,44242,4857.743897899861
Male,White,Foreign-Born,2017-2019,Total,85+,380150.6032258555,55100,14494.255574616021
Male,White,Foreign-Born,2020,Total,25-34,660888.2033130344,902,136.48299295981855
Male,White,Foreign-Born,2020,Total,35-44,788053.6217845584,1403,178.03357045969625
Male,White,Foreign-Born,2020,Total,45-54,812676.102499324,3652,449.3795238679407
Male,White,Foreign-Born,2020,Total,55-64,810185.9713580194,10272,1267.8570554341068
Male,White,Foreign-Born,2020,Total,65-74,596610.3531396849,15930,2670.0844053690594
Male,White,Foreign-Born,2020,Total,75-84,325550.84013651876,18454,5668.546268306778
Male,White,Foreign-Born,2020,Total,85+,131801.08324809998,22320,16934.61043714279
Male,White,US-Born,2017-2019,Total,25-34,37011988.18739991,70435,190.30320566237071
Male,White,US-Born,2017-2019,Total,35-44,33431092.98182477,91118,272.55465458319725
Male,White,US-Born,2017-2019,Total,45-54,36698217.12754802,188922,514.798850699979
Male,White,US-Born,2017-2019,Total,55-64,41264049.95689182,459181,1112.7870397590693
Male,White,US-Born,2017-2019,Total,65-74,31298274.912648804,682585,2180.902947223273
